Initial Angle (deg),CONT-LQR,DISC-LQR,ILQR
-30,1,1,1
-20,1,1,1
-15,1,1,1
-10,1000,1000,237
-5,1000,1000,1000
0,1000,1000,1000
5,1000,1000,1000
10,1000,1000,237
15,1,1,1
20,1,1,1
30,1,1,1
