controller,run_name,angle_weight,R,max_steps,return,exit_code,duration_s,logfile,video_file
ilqr,q1_ilqr_aw0.5_R0.1_ms1000,0.5,0.1,1000,1000.0,0,35.88820195198059,results/logs/q1_ilqr_aw0.5_R0.1_ms1000.log,results/videos/q1_ilqr_aw0.5_R0.1_ms1000.gif
ilqr,q1_ilqr_aw0.5_R1.5_ms200,0.5,1.5,200,200.0,0,8.305907964706421,results/logs/q1_ilqr_aw0.5_R1.5_ms200.log,results/videos/q1_ilqr_aw0.5_R1.5_ms200.gif
ilqr,q1_ilqr_aw0.5_R1.5_ms1000,0.5,1.5,1000,1000.0,0,34.34053301811218,results/logs/q1_ilqr_aw0.5_R1.5_ms1000.log,results/videos/q1_ilqr_aw0.5_R1.5_ms1000.gif
ilqr,q1_ilqr_aw0.5_R5.0_ms200,0.5,5.0,200,200.0,0,8.22750210762024,results/logs/q1_ilqr_aw0.5_R5.0_ms200.log,results/videos/q1_ilqr_aw0.5_R5.0_ms200.gif
ilqr,q1_ilqr_aw0.5_R5.0_ms1000,0.5,5.0,1000,705.0,0,25.12510108947754,results/logs/q1_ilqr_aw0.5_R5.0_ms1000.log,results/videos/q1_ilqr_aw0.5_R5.0_ms1000.gif
ilqr,q1_ilqr_aw2.0_R0.1_ms200,2.0,0.1,200,200.0,0,8.431241989135742,results/logs/q1_ilqr_aw2.0_R0.1_ms200.log,results/videos/q1_ilqr_aw2.0_R0.1_ms200.gif
ilqr,q1_ilqr_aw2.0_R0.1_ms1000,2.0,0.1,1000,1000.0,0,38.016525745391846,results/logs/q1_ilqr_aw2.0_R0.1_ms1000.log,results/videos/q1_ilqr_aw2.0_R0.1_ms1000.gif
ilqr,q1_ilqr_aw2.0_R1.5_ms200,2.0,1.5,200,200.0,0,8.378286123275757,results/logs/q1_ilqr_aw2.0_R1.5_ms200.log,results/videos/q1_ilqr_aw2.0_R1.5_ms200.gif
ilqr,q1_ilqr_aw2.0_R1.5_ms1000,2.0,1.5,1000,1000.0,0,38.23298668861389,results/logs/q1_ilqr_aw2.0_R1.5_ms1000.log,results/videos/q1_ilqr_aw2.0_R1.5_ms1000.gif
ilqr,q1_ilqr_aw2.0_R5.0_ms200,2.0,5.0,200,200.0,0,7.5430591106414795,results/logs/q1_ilqr_aw2.0_R5.0_ms200.log,results/videos/q1_ilqr_aw2.0_R5.0_ms200.gif
ilqr,q1_ilqr_aw2.0_R5.0_ms1000,2.0,5.0,1000,625.0,0,22.868441820144653,results/logs/q1_ilqr_aw2.0_R5.0_ms1000.log,results/videos/q1_ilqr_aw2.0_R5.0_ms1000.gif
ilqr,q1_ilqr_aw10.0_R0.1_ms200,10.0,0.1,200,200.0,0,8.664416074752808,results/logs/q1_ilqr_aw10.0_R0.1_ms200.log,results/videos/q1_ilqr_aw10.0_R0.1_ms200.gif
ilqr,q1_ilqr_aw10.0_R0.1_ms1000,10.0,0.1,1000,1000.0,0,32.82529807090759,results/logs/q1_ilqr_aw10.0_R0.1_ms1000.log,results/videos/q1_ilqr_aw10.0_R0.1_ms1000.gif
ilqr,q1_ilqr_aw10.0_R1.5_ms200,10.0,1.5,200,200.0,0,9.977500200271606,results/logs/q1_ilqr_aw10.0_R1.5_ms200.log,results/videos/q1_ilqr_aw10.0_R1.5_ms200.gif
ilqr,q1_ilqr_aw10.0_R1.5_ms1000,10.0,1.5,1000,1000.0,0,35.15029692649841,results/logs/q1_ilqr_aw10.0_R1.5_ms1000.log,results/videos/q1_ilqr_aw10.0_R1.5_ms1000.gif
ilqr,q1_ilqr_aw10.0_R5.0_ms200,10.0,5.0,200,200.0,0,7.488302946090698,results/logs/q1_ilqr_aw10.0_R5.0_ms200.log,results/videos/q1_ilqr_aw10.0_R5.0_ms200.gif
ilqr,q1_ilqr_aw10.0_R5.0_ms1000,10.0,5.0,1000,1000.0,0,33.4685480594635,results/logs/q1_ilqr_aw10.0_R5.0_ms1000.log,results/videos/q1_ilqr_aw10.0_R5.0_ms1000.gif
